Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
UKR,0.0,0.0,0.0,0.0,0.0,0.0,47.18693285,38.43375681,30.85735027,27.20145191,23.36569873,15.67150635
URY,0.0,0.89154013,1.35791757,1.824295011,2.290672451,2.757049892,3.223427332,3.689804772,3.969631236,3.969631236,3.969631236,3.969631236
USA,0.0,0.0,0.0,0.0,17.99503194,17.06352023,16.56493967,16.71575586,16.87721789,16.13484741,15.22492707,15.7699117
UZB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,327.8527715,321.878825,302.624779,307.0447436,360.4651163
VCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,9.4174444,9.1,8.1,7.9
VEN,0.0,0.0,0.550384265,0.653203727,0.755980124,0.858756522,0.960886957,1.063663354,1.618357764,2.810074534,2.810074534,2.810074534
VNM,0.0,0.0,0.0,0.0,11.35893155,13.29137451,15.46388425,18.28747913,21.11864218,22.77740679,22.77740679,22.77740679
YEM,0.0,0.0,0.0,0.0,0.0,0.0,143.6,154.7428571,164.5904762,169.7619048,169.7619048,169.7619048
ZAF,0.0,0.0,0.0,0.0,0.0,0.0,29.30401786,28.66071429,28.57354625,28.95272436,30.49931319,43.25892857
ZMB,0.0,0.0,0.0,0.0,0.0,0.0,2.178304239,2.064526185,1.960099751,1.960099751,1.960099751,1.960099751
ZWE,0.0,0.0,0.0,0.0,0.0,9.951060359,18.06688418,26.18270799,34.29853181,29.11908646,28.22695759,27.23491028
